Ngành,Nhóm NVL 2,Mã SAP,Material Description Adjust,Nguyên nhân châm luân chuyển,Tồn cuối kỳ ko kho ảo (tấn)
PET,Bụi,160012334,Phó Sản PET Bụi Cám Sau Sàn Rung,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",326.4
PET,Zigzag PET,160012311,Phó Sản PET Zigzag,Vảy Zigzag lẫn nhiều tạp không đạt chất lượng tạo hạt PET,322.46
PET,"Tạp dơ cát, đá, kim loại",160012422,Phó Sản PET Tromel,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",210.51
PET,Tomra,160012608,Phó Sản PET Tomra Cổng 3 Sau Lựa,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt. Tomra đã qua nhiều lần thu hồi, còn lại nước chót tỷ lệ tạp cao.",173.88
PET,Zigzag PET,160012607,Phó Sản PET Zigzag Sau Lựa,"Tỷ lệ nhãn PVC, PE rất cao (từ 25%- 90%), xử lý nhiều lần còn lại nước chót",142.02
PET,Bụi,160012729,Phó Sản PET Bụi Tank D,Bụi tạp chưa đạt chất lượng tạo hạt,112.28
PET,Bụi,160012727,Phó Sản PET Bụi Tank B,Lẫn nhiều đất bùn,100.72
PET,Vảy tạp tuyển nổi 2,160012431,Phó Sản PET Tuyển nổi 2,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",74.99
PET,Bụi,160012726,Phó Sản PET Bụi Tank A,Lẫn nhiều đất bùn,73.54
HD Ép,Bụi,160012360,Phó Sản HD Ép Bụi,"Nhiều tạp khác nhau chưa bóc tách được, nhiều nhãn, chấm đen không đạt chất lượng tạo hạt",66.84
HD Thổi,Bụi,160012361,Phó Sản HD Thổi Trong Bụi,"Sản sinh trong sản xuất rửa vảy, Bị ẩm, lẫn nhiều tạp. Không đạt tạo hạt",61.8
PP,Bụi,160012362,Phó sản bụi PP ép,"Nhiều tạp khác nhau chưa bóc tách được, nhiều nhãn, chấm đen không đạt chất lượng tạo hạt",61.18
PET,Tomra,160012419,Phó Sản PET Tomra Cổng 3,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",45.46
HD Thổi,"Bụi, vảy quét nền",160012710,Phó Sản HD Vảy Quét Nền,"Nhiều tạp khác nhau chưa bóc tách được, chấm đen, không đạt chất lượng tạo hạt. Đang để ngoài trời kho Tân Lợi Phát, bị ướt",39.3
HD Ép,Phó sản Meyer,160012776,Phó Sản HD Ép Olefin Meyer,"Hỗn hợp vảy HD, PET loại ra tại máy Meyer",32.44
HD Ép,HD Ép màu,160012756,Phó Sản HD Ép Dương Nhạt Pallet L2,Vảy sử dụng cho đơn hàng Outerinho,29.37
PET,Bụi,160012896,Phó Sản PET Bụi LB,Lẫn nhiều bùn,22.39
PET,Bụi,160012423,Phó Sản PET Bụi Vảy,"Tỉ trọng nhẹ, mịn như bột",16.03
HD Thổi,Vảy HD chìm,800006237,Phó sản vảy chìm HD thổi trắng sữa,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",15.65
HD Ép,Nắp HD Ép,160012958,Phó Sản B6.2 Nắp Chưa Băm,Vảy HD Ép chưa có hoặc chậm đơn hàng,14.7
HD Ép,Nắp HD Ép,160012951,Phó Sản HD Ép Hỗn Hợp Cuối SSR,"Hỗn hợp vảy nắp các màu, vảy nhỏ máy móc khó bóc tách",13.95
HD Ép,Bụi,160012751,Phó Sản HD Ép Dương Bụi,Bụi tạp chưa đạt chất lượng tạo hạt,13.8
PET,"Bụi, vảy quét nền",160012420,Phó Sản PET Quét Nền,"Nhiều tạp khác nhau chưa bóc tách được, chấm đen, không đạt chất lượng tạo hạt. Đang để ngoài trời.",9.86
HD Ép,Nắp HD Ép,160012610,Phó Sản HD Ép Hỗn Hợp Nắp 2,Vảy HD Ép với thành phần vảy HD ép trong lớn từ 60-80%,9.65
HD Thổi,Vảy HD chìm,160012454,Phó Sản HD Thổi Vàng Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",9.11
HD Thổi,HD thổi ngả màu,160012432,Phó Sản HD Thổi Trắng Sữa Vảy L1,"Vảy ánh vàng, không đạt chất lượng tạo hạt",8.97
PP,PP,160012959,Phó Sản PP Quai-Nắp Các Màu,Số lượng ít,8.73
HD Thổi,HD thổi ngả màu,160012770,Phó Sản HD Thổi Trắng Sữa Chìm,"Vảy ngả màu, chìm",8.31
PP,Phó sản Meyer,160012788,Phó sản PP Trắng Sữa Meyer,"Hỗn hợp vảy HD, PET loại ra tại máy Meyer",7.93
HD Thổi,Vảy HD chìm,800006238,Phó sản vảy chìm HD thổi vàng chanh,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",7.74
HD Ép,Bụi,800006268,GC Phó Sản HD Ép Bụi,"Nhiều tạp khác nhau chưa bóc tách được, nhiều nhãn, chấm đen không đạt chất lượng tạo hạt",7.26
HD Ép,Bụi,160012360,Bụi cám,"Nhiều tạp khác nhau chưa bóc tách được, nhiều nhãn, chấm đen không đạt chất lượng tạo hạt",7.03
HD Ép,Nắp HD Ép,160012893,Phó Sản HD Ép Hỗn Hợp Nắp B6.2 ST,Lẫn PP cao,6.4
PP,Bụi,160012787,Phó Sản PP Trắng Sữa Bụi,Bụi tạp chưa đạt chất lượng tạo hạt,6.34
HD Ép,Nắp HD Ép,160012609,Phó Sản HD Ép Hỗn Hợp Nắp 1,"Vảy HD Ép nhiều màu đen, đồng, trắng",6
PET,Vảy tạp tuyển nổi 2,160012954,Phó Sản PET B6.2 Vảy-Nắp,"Vảy từ chai nước mắm, nước tương lẫn PP,  vảy lớn, vảy nhỏ nhiều màu",5.9
HD Thổi,Vảy HD chìm,160012838,Phó Sản HD Thổi Trong Vảy L1 GC,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",5.5
HD Thổi,Bụi,160012436,Phó Sản HD Thổi Trắng Sữa Bụi,"Sản sinh trong sản xuất rửa vảy, Bị ẩm, lẫn nhiều tạp. Không đạt tạo hạt",5.41
HD Ép,Nắp HD Ép,160012612,Phó Sản HD Ép Olefin PET 1 ST,Vảy HD Ép lẫn nhiều PET,5.4
PET,Bụi,160012728,Phó Sản PET Bụi Tank C,Bụi tạp chưa đạt chất lượng tạo hạt,4.67
HD Thổi,Vảy mỏng HD thổi,800006239,Phó sản vảy mỏng HD thổi vàng chanh,Vảy Zigzag lẫn nhiều tạp không đạt chất lượng tạo hạt HD,3.8
HD Thổi,HD thổi ngả màu,160012458,Phó Sản HD Thổi Trong Vảy L2 QMT,"Dính nhiều nhãn, tạp chất",3.74
HD Thổi,HD Thổi trong,160012782,Phó Sản HD Thổi Trong Vảy L2 Lần 2,"Vảy lão hóa, ngã vàng đã tách lại từ phó sãn",3.3
PP,Vảy PP chìm,160012569,Phó Sản PP Trắng Sữa Vảy Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",3
HD Ép,Nắp HD Ép,160012892,Phó Sản HD Ép Olefin PET B6.2 ST,"Lẫn PP cao, lẫn PET cao",2.93
HD Ép,Nắp HD Ép,160012613,Phó Sản HD Ép Olefin PET 2 ST,Vảy HD Ép lẫn nhiều PET,2.75
HD Thổi,Vảy HD chìm,160012772,Phó Sản HD Thổi Trong Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",2.5
PP,Phó sản Meyer,160012866,Phó Sản PP Trắng Sữa Cổng 2 Vảy,"Ít đơn hàng, vảy lõa hóa nhiều",2.35
PP,Phó sản Meyer,160012867,Phó Sản PP Trắng Sữa Cổng 3 Vảy,"Ít đơn hàng, vảy lõa hóa nhiều",2.11
HD Thổi,HD thổi ngả màu,160012270,Phó Sản HD Thổi Trong Vảy L1,"Vảy ánh vàng, không đạt chất lượng tạo hạt",2
HD Thổi,Zigzag HD thổi,160012274,Phó Sản HD Thổi Trong Zigzag,Vảy Zigzag lẫn nhiều tạp không đạt chất lượng tạo hạt HD,1.8
PET,Bụi,160012734,"Phó Sản PET Bụi Tank C, D Sau Vắt","Bụi còn lẫn tạp, chưa tạo hạt được",1.53
HD Thổi,Bụi,160012774,Phó Sản HD Thổi Vàng Bụi,"Sản sinh trong sản xuất rửa vảy, Bị ẩm, lẫn nhiều tạp. Không đạt tạo hạt",1.53
HD Ép,HD Ép màu,160012761,Phó Sản HD Ép Dương Két Pepsi L2,Vảy sử dụng cho đơn hàng Outerinho,1.24
HD Ép,HD Ép màu,160012749,Phó Sản HD Ép Dương Đậm Tiger L1,Vảy sử dụng cho đơn hàng Outerinho,1.11
HD Thổi,HD Thổi màu,150000039,Vảy HD Thổi Lá HV-04.1,Chào bán HD thổi màu Lá,1.05
HD Thổi,Phó sản Meyer,160012345,Phó Sản HD Thổi Trong Meyer,"Hỗn hợp vảy HD, PET loại ra tại máy Meyer",1
PP,Vảy PP chìm,160012566,Phó Sản PP Dương Vảy Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",1
HD Thổi,Phó sản Meyer,160012771,Phó Sản HD Thổi Trắng Sữa Meyer,Có lẫn nhựa khác,0.98
HD Ép,HD Ép màu,160012750,Phó Sản HD Ép Dương Đậm Tiger L2,Vảy sử dụng cho đơn hàng Outerinho,0.98
PP,Bụi,160012712,Phó Sản PP Dương Bụi,Bụi tạp chưa đạt chất lượng tạo hạt,0.77
HD Ép,HD Ép màu,160012760,Phó Sản HD Ép Dương Két Pepsi L1,Vảy sử dụng cho đơn hàng Outerinho,0.76
HD Thổi,Zigzag HD thổi,160012664,Phó Sản HD Thổi Lá Zigzag,Vảy Zigzag lẫn nhiều tạp không đạt chất lượng tạo hạt,0.73
HD Ép,Phó sản Meyer,160012758,Phó Sản HD Ép Dương Nhạt Pallet Meyer,Lẫn nhựa khác,0.72
PP,Đầu keo,160012824,Phó Sản PP Đỏ Đầu Keo SB,"Tạp, chấm đen không đạt chất lượng tạo hạt PP",0.58
HD Thổi,HD thổi ngả màu,160012433,Phó Sản HD Thổi Trắng Sữa Vảy L2,"Vảy ánh vàng, không đạt chất lượng tạo hạt",0.5
HD Thổi,HD Thổi trong,160012781,Phó Sản HD Thổi Trong Vảy L1 Lần 2,"Vảy lão hóa, ngã vàng đã tách lại từ phó sãn",0.5
PP,Vảy PP chìm,160012565,Phó Sản PP Đỏ Vảy Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",0.5
HD Thổi,Zigzag HD thổi,160012435,Phó Sản HD Thổi Trắng Sữa Zigzag,Vảy mỏng lẫn màu không đạt chất lượng tạo hạt,0.4
HD Ép,Nắp HD Ép,160012921,Phó Sản HD Ép Hỗn Hợp Nắp B6.2 ST Lần 3,"Vảy từ chai nước mắm, nước tương lẫn PP,  vảy lớn, vảy nhỏ nhiều màu",0.4
HD Ép,Nắp HD Ép,160012920,Phó Sản HD Ép Hỗn Hợp Nắp B6.2 ST Lần 2,"Vảy từ chai nước mắm, nước tương lẫn PP,  vảy lớn, vảy nhỏ nhiều màu",0.4
PP,Đầu keo,160012825,Phó Sản PP Dương Đầu Keo SB,"Tạp, chấm đen không đạt chất lượng tạo hạt PP",0.36
PP,Vảy PP chìm,160012571,Phó Sản PP Trong Vảy Chìm,"Nhiều tạp khác nhau chưa bóc tách được, không đạt chất lượng tạo hạt",0.26
PET,"Hạt lẫn màu, kim loại",160012938,Phó Sản Hạt rPET iSS01084G Lẫn Kim Loại,Hạt lẫn kim loại,0.2
HD Thổi,HD thổi ngả màu,160012452,Phó Sản HD Thổi Vàng Vảy L2,Vảy màu vàng nghệ và lẫn một số màu khác,0
